trackId,name,album,artist,releaseDate,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,timeSignature
7ceXCl3ndsTFrH60P1c0io,Trust Nobody,AT LEAST WE HAVE THIS,Ama Lou,2021-11-26,195506,47,0.672,0.605,0.472,0.0,0.0919,-9.501,0.244,78.347,4
6UOruoEj8UAA9iEtjbjJra,Sweet Blue,Sweet Blue,Cleo Sol,2019-05-31,253527,62,0.596,0.733,0.313,0.0034,0.0653,-14.759,0.056,81.02,4
1ciQU7ZQGHq129m3njp9en,dirty dancer,dirty dancer,Orion Sun,2022-02-08,169720,70,0.702,0.376,0.525,0.0667,0.119,-5.028,0.0313,113.856,4
0VdGCLMuvGP8Q7ceTHmMyy,COMING THRU,COMING THRU,Jamilah Barry,2021-05-21,133500,57,0.538,0.523,0.646,1.69e-05,0.113,-4.995,0.323,160.222,4
3W2nknW1nTuuxUSyFCUCS8,John Redcorn,Chasing Summer,SiR,2019-08-30,187893,69,0.734,0.226,0.435,0.00277,0.216,-6.126,0.0869,143.967,4
0FTpFi1BlqoBVELlh7jK50,Le Départ,Lotus Glow,Adi Oasis,2023-03-03,59836,69,0.678,0.823,0.339,0.921,0.167,-11.187,0.0934,74.009,3
2YIIDMcF9zWJ2xcFSA99lH,Charge It,We Go Again,ENNY,2023-04-13,185715,68,0.783,0.347,0.542,0.593,0.201,-6.793,0.114,127.047,4
20YOJ81BuTLbLcBCYnFmQ1,Fantasy,Fantasy,Alina Baraz,2015-01-22,218947,58,0.68,0.353,0.747,0.0,0.138,-6.056,0.091,113.933,4
3HjRISOy6fhuXb73Pf2kN3,you up?,exodus the north star,Yaya Bey,2023-02-07,74303,72,0.611,0.436,0.315,0.0,0.166,-10.014,0.135,139.787,4
4O89rUWrGgWYKaHJUOp314,Cream,CHASE,Aaron May,2019-02-28,113555,71,0.87,0.12,0.37,0.0,0.117,-6.143,0.393,169.927,4
4svk9KGtIVSEoeG2VjIUSy,A Storm on a Summers Day,A Storm on a Summers Day,Full Crate,2018-06-07,178355,68,0.726,0.696,0.295,0.000356,0.172,-14.504,0.219,115.067,4
6K4Co1NQyOnoFEJMkZHkln,James Joint,ANTI (Deluxe),Rihanna,2016-01-28,72080,71,0.399,0.66,0.203,0.000163,0.27,-11.649,0.0298,134.202,4
7m0tBD3JC20Czvrg4zzR4u,Butterfly,Rose in the Dark,Cleo Sol,2020-03-27,199600,53,0.598,0.866,0.26,0.0,0.168,-9.406,0.0762,81.107,4
3ppVO2tyWRRznNmONvt7Se,Summers Over Interlude,Views,Drake,2016-05-06,106333,78,0.699,0.405,0.255,0.00242,0.0985,-8.647,0.0303,132.031,3
5nV3xjY5nlQwAgpuSeinNG,Someday,Someday,Elmiene,2023-10-19,161529,63,0.728,0.401,0.56,0.000145,0.352,-7.007,0.0387,132.929,4
6HL0T1bwbyx7dWK3eLrXpz,Think About You - Notion Mix,Back At Sixes And Sevens,Tiana Major9,2020-12-18,195186,44,0.765,0.00709,0.6,4.13e-05,0.084,-6.56,0.143,86.733,4
0qGQXQdUNwPYQadGuELgEI,Why Are There Boundaries,French Kiwi Juice,FKJ,2017-03-03,182445,64,0.488,0.686,0.228,0.00374,0.0835,-9.13,0.0429,80.982,3
2BfxLAYgetcxiyXJA7ItoF,If You Let Me,Sunbeam,Alina Baraz,2021-09-24,135346,67,0.604,0.556,0.683,0.449,0.147,-8.612,0.0434,138.078,4
6jpWCR76CzSG6zQKfOCN0B,Anchor,A New Thing,Madison Ryann Ward,2023-04-21,155000,55,0.777,0.582,0.459,0.235,0.0942,-8.778,0.052,75.018,4
7mvma3mO5hSyhVbJDXxtFz,Grateful,Grateful,Mahalia,2019-04-26,185991,60,0.655,0.73,0.351,0.000176,0.291,-7.628,0.153,141.689,4
2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay The First,CKay,2019-08-30,145800,81,0.727,0.365,0.739,0.00137,0.161,-3.805,0.0411,93.005,4
7bKxc7UstlRxOtNBvLjGSs,It Gets Better (With Time),Hive Mind,The Internet,2018-07-20,326533,55,0.484,0.687,0.375,3.29e-05,0.105,-8.957,0.364,83.997,4
5KXNgbRYbqwEFIFM0AMakg,Groceries,Homegrown,CARRTOONS,2022-04-20,143606,68,0.781,0.0127,0.768,0.00434,0.159,-5.64,0.0376,121.987,4
0QsshmiJQr2A3j5WUQdM5Q,Too Bad I Forget,Marigold,Alex Isley,2022-03-30,150588,57,0.558,0.907,0.485,0.505,0.142,-7.532,0.0371,152.844,4
1Hl52AxTWYv4IMbNKbI5bl,Sides of Me,Studying Abroad: Extended Stay,Masego,2020-11-13,120180,64,0.771,0.241,0.464,8.67e-06,0.101,-11.119,0.154,95.115,4
49Lbka7DlfHkooF7ZIkQl2,THERAPY,THERAPY,Jaz Karis,2023-04-13,126857,52,0.577,0.632,0.48,0.0,0.117,-8.109,0.348,139.31,5
13eNzMdXHUinoWsxcRXTCW,Feelings (feat. J Hus),falling or flying,Jorja Smith,2023-09-29,237852,69,0.773,0.064,0.685,6.85e-06,0.113,-7.529,0.309,95.043,4
